id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
224517,20,1097,2259,313,15098,4426,3687,16006,2943,1058,6285,171,6884,306,3185
161936,61,50,158,149,560,1963,940,509,3384,9405,2818,1133,574,4091,1768
342942,4961,6,4669,11,709,230,251,9947,283,1373,6166,170,6765,5355,1473
174430,13320,10,25,3804,523,2669,10545,9275,1289,6000,1405,5634,741,57,34
233078,134,5003,5400,17,12683,3464,6013,2065,86,125,635,234,1668,491,659
316554,13,4777,2625,9839,166,2779,745,15996,9529,294,340,1594,1949,4058,687
167791,181,11,2,54,4961,170,1162,1373,18,2234,146,353,11067,3826,432
115746,201,698,15731,6996,2617,488,688,5159,2602,2286,9850,9528,12862,13152,1073
187645,488,2963,1166,4876,150,1299,4684,2021,112,132,3585,4196,74,4893,7218
162886,590,641,118,12140,1215,5073,705,88,4838,7255,9365,1270,798,1643,425
291457,3,13320,25,3804,523,10545,2669,1997,208,6000,3237,9275,1062,3228,5634
220308,30,67,15998,6,18,1812,1825,1738,17,2,69,45,292,86,2234
12333,982,4717,943,2498,8963,2538,4561,4209,291,586,8945,4537,10615,8288,13839
397598,5,4777,2625,2779,186,1949,4058,1958,10904,3912,9839,9110,1121,3921,15996
182028,96,249,2349,82,9967,1828,4908,44,233,6509,847,1473,66,30,1585
84876,15886,16008,416,1505,231,7982,2503,813,211,6703,137,1182,3935,13895,3114
193738,26,206,7698,107,6823,9738,2451,4784,7813,4297,4248,11216,12611,2779,3090
246900,86,4,125,134,3464,2065,635,1117,10961,4418,9680,12683,12300,5003,7568
169786,11,3245,30,4961,283,6,835,2534,52,8738,9,410,54,2234,38
173346,58,103,216,1529,11,709,785,1585,1453,2783,852,30,440,2053,10518
28720,0,1097,171,306,15098,16006,2943,2966,6285,66,2259,344,313,4725,6884
167355,133,8547,1459,1700,705,2890,2047,5281,8167,10348,5108,13742,1456,5052,2102
266507,78,85,148,3597,238,2435,25,2281,6401,131,2018,340,13169,5078,12860
177736,9127,356,16038,56,80,51,16003,87,2549,2088,2176,879,1676,3063,6708
124361,99,360,16034,7376,9738,2451,137,4297,263,2038,248,2452,9158,2779,85
295770,3,10,13320,523,2419,3804,2110,131,1368,5634,741,57,34,2669,595
341169,206,16,7698,107,6823,2840,1581,2779,8568,6552,5531,8120,6180,5525,7306
205637,204,405,175,64,2548,5052,127,444,2829,1520,523,1405,131,203,1647
312484,294,9839,6059,6401,991,2415,1261,15833,2620,15773,2002,3408,2219,3974,3449
237182,301,15220,4167,15743,11148,10111,9365,4978,1744,9850,9,200,15489,378,8819
120677,15998,11,67,1825,15806,18,378,1247,6,66,462,1657,4961,162,10344
266192,98,152,2512,998,5577,37,9162,2892,9533,230,4489,1373,6960,283,1956
192135,174,1411,1034,3539,1527,2881,1556,81,1997,9104,457,13402,1244,1325,1493
164928,16050,15790,12777,4248,7651,8644,432,15994,13372,10138,4679,3461,5373,68,429
96848,15856,2419,3361,2110,595,57,25,1391,5634,523,131,9275,9179,3876,340
251247,171,866,11120,843,5639,69,430,1812,2452,4470,52,1738,4961,1058,3792
324856,79,14427,5992,13348,2911,9019,3388,10212,15900,5690,9325,4448,1150,10624,14977
199792,15949,4447,15974,1185,15961,1373,4961,377,1386,31,197,9162,6401,2053,2892
183394,15769,290,69,4539,1084,73,52,18,571,886,6744,4470,16003,232,1102
373106,4613,11083,7068,3475,3388,1892,6126,4649,9406,12035,11576,11941,4240,5984,6215
366013,270,2262,15991,1170,13107,1547,7698,14400,7293,3059,26,4560,5506,6279,2779
285774,405,175,3092,1270,641,4672,3091,305,10516,13350,2048,397,1325,8196,1446
175914,346,3180,5250,7271,1455,10400,3826,3647,1422,4089,6821,13031,3686,10313,15891
521,1942,1095,9086,4405,9904,4408,15550,10076,13702,9865,15339,3310,2960,6431,2030
256960,2187,301,655,1472,5967,5484,62,2721,10099,3636,6878,3799,8568,752,12247
247763,11,170,1373,962,1812,836,15949,353,1473,3501,11509,535,3826,3687,1952
284378,280,6276,1779,1266,145,869,60,12247,2259,8533,5985,313,11391,660,3923
3076,15736,15945,16017,15782,16047,418,468,176,275,6543,4248,842,456,7710,356
321608,16043,15177,2159,10223,243,2721,8242,8457,11128,15309,6903,6516,8785,12817,12915
295947,11823,251,3058,3094,748,901,2549,4364,197,3114,101,4961,8228,1143,8752
314040,1,61,158,1963,3384,509,149,940,560,1133,9405,6465,738,102,574
102794,879,56,80,15969,16038,16003,87,421,15863,23,1078,277,71,1550,6744
185343,15848,15894,1283,11067,1965,13143,7008,1812,1657,72,118,332,3128,10784,4470
253344,2223,2829,481,527,523,3876,5911,4622,1997,81,5113,4969,1325,1459,457
184267,2234,4961,11067,6,4703,889,230,1812,11629,4419,8313,5307,843,7296,52
170216,178,2759,300,15982,16009,2963,200,6184,11148,2343,3774,4978,3202,9827,143
31260,80,16003,51,421,16038,87,15863,1078,1550,23,277,71,6744,438,370
251661,523,2110,595,1368,114,741,2669,9017,5113,2737,1244,9275,34,25,2829
421006,19,9365,2783,7570,15165,7349,3407,2021,10735,15974,4961,292,163,11916,6471
255984,15971,3393,1160,141,1368,16005,523,1269,798,250,203,1556,1244,297,8240
161533,145,9947,864,2675,5004,4021,73,46,6276,2301,5307,1579,836,540,1222
221107,1,50,158,560,940,149,1963,509,3384,9405,1133,574,3991,2818,238
231733,2415,5506,13145,7306,3956,15918,15798,9839,6059,2527,294,9388,1581,2827,5393
182874,12402,5755,304,12128,176,7542,13802,128,8672,7228,5440,5680,247,15984,7842
205059,567,131,6081,2829,523,457,481,3228,5634,4622,1328,208,5113,1759,4969
126163,6744,732,4367,1377,12040,1473,3481,992,7033,2573,566,6505,8913,7710,13433
2651,6884,344,2603,3692,5430,2754,1295,30,20,4548,575,14,285,3687,248
383179,15998,30,11,1825,15806,1247,1453,3407,3501,566,1738,7805,6959,9365,4295
244521,15959,15992,242,6395,2608,463,15890,5160,123,9576,5939,182,3898,5078,5373
216132,4470,35,11,866,189,2314,7271,38,52,6450,5918,313,116,11869,6966
276025,589,206,462,15972,26,2740,107,6,7698,5639,789,14186,889,170,1373
35677,356,224,1676,277,1649,370,16003,51,1682,16038,4605,16031,1084,56,80
266810,116,1965,836,358,187,16018,52,4021,7307,1657,1386,9044,866,843,4082
125153,2675,60,145,2301,5918,864,1157,52,7034,232,5531,550,843,4539,1084
164153,1700,686,5108,208,457,1433,3228,5634,2063,6284,523,3044,1759,4969,1567
124742,1650,1264,1330,1806,8275,7840,3010,5097,4656,5195,10970,12742,2644,2241,3410
338960,3864,3206,5664,5111,7734,3717,8840,3195,7929,15970,2419,3361,2746,4637,1023
209010,10004,6340,8373,5634,3876,11125,2560,1328,523,2829,481,7206,4969,581,14153
365717,85,22,148,5078,13179,8068,7304,1725,2699,1429,2779,11504,3407,7417,6670
284083,36,14427,3388,5508,10212,4448,6126,1150,11093,1276,2789,10722,3670,3271,6812
200680,16003,56,51,421,16038,15863,87,1078,277,1550,23,71,1657,69,6744
55690,523,1997,5113,9275,2829,1034,2669,1556,1405,595,9063,581,7704,8373,5634
28143,1163,156,842,5284,861,2784,103,11,14,170,2388,468,275,6,381
230802,221,661,466,815,5644,4364,13637,10695,15861,1595,2399,6166,6922,6260,11855
157354,3407,2715,9187,67,4295,15974,4909,8687,4082,8864,5491,9323,15109,10024,11225
201808,78,22,148,5078,13179,7304,1725,9158,11504,182,2206,2334,6670,5373,13169
72125,17,3464,134,5003,9680,5400,659,4,194,2065,7568,6795,12313,5565,3860
159675,16038,51,56,80,438,16003,421,277,356,23,1078,6781,71,1084,1550
191189,1958,3921,140,1258,309,238,2281,9839,1594,6151,14624,4777,9158,8840,7306
110327,3681,4808,6111,12287,5433,11006,2304,555,14122,15981,6456,6187,11059,12331,4763
93,15791,15756,13640,9422,13314,3880,10871,13791,15807,2045,4579,9923,3532,55,3799
229853,16033,3891,13213,9285,10956,4364,1157,3290,384,5913,5998,1373,841,1470,2642
332772,7359,4829,8506,14586,8447,7630,15830,1258,309,1469,2281,15841,12555,9110,3720
322289,15962,1562,2770,2103,4956,1253,4134,14106,4863,9339,5805,16018,6401,3128,15994
317985,4418,11629,2046,4469,283,1812,1477,11,6834,8409,9669,1917,5334,874,14396
371942,207,2843,279,4787,1027,157,242,2162,883,4308,9127,2181,247,540,2188
25613,14,4908,249,9967,8698,12247,15823,3117,11047,1473,2660,1828,12768,14226,3799
291453,5161,10450,11116,4211,7687,10441,7814,2078,2694,1719,9367,4112,8064,7080,6973
366161,31,9162,998,4489,12788,152,5577,2512,209,7828,10551,1373,6960,10344,4809
256916,24,360,16034,9738,2451,4297,263,2779,5138,3060,4476,6823,14783,13145,3894
62219,739,3971,1872,1056,647,5059,2274,6485,4550,4329,1321,3933,9209,2183,1985
